Title,Link,Date,Comments,Likes,Tweets,LinkedIn,Pins,+ 1's
Graphs,http://cdixon.org/2010/07/22/graphs/,"July 22, 2010",0,38,200,2,0,1
It’s not that seed investors are smarter – it’s that entrepreneurs are,http://cdixon.org/2010/07/05/its-not-that-seed-investors-are-smarter-its-that-entrepreneurs-are/,"July 5, 2010",0,5,161,2,0,0
Competition is overrated,http://cdixon.org/2010/06/26/competition-is-overrated/,"June 26, 2010",0,50,461,100,0,2
Builders and extractors,http://cdixon.org/2010/06/19/builders-and-extractors/,"June 19, 2010",0,37,51,5,0,0
Pivoting,http://cdixon.org/2010/06/14/pivoting/,"June 14, 2010",0,58,41,3,0,0
Designing products for single and multiplayer modes,http://cdixon.org/2010/06/12/designing-products-for-single-and-multiplayer-modes/,"June 12, 2010",0,3,2,0,0,0
Inside versus outside financings: the nightclub effect,http://cdixon.org/2010/06/08/inside-versus-outside-financings-the-nightclub-effect/,"June 8, 2010",0,1,150,0,0,0
Steve Jobs single-handedly restructured the mobile industry,http://cdixon.org/2010/06/06/steve-jobs-single-handedly-restructured-the-mobile-industry/,"June 6, 2010",0,42,72,20,0,2
There are three New York Cities,http://cdixon.org/2010/06/04/there-are-three-new-york-cities/,"June 4, 2010",0,45,18,0,0,0
Money managers should pay the same tax rates as everyone else,http://cdixon.org/2010/06/01/money-managers-should-pay-the-same-tax-rates-as-everyone-else/,"June 1, 2010",0,4,58,5,0,0
"While Google fights on the edges, Amazon is attacking their core",http://cdixon.org/2010/05/22/while-google-fights-on-the-edges-amazon-is-attacking-their-core/,"May 22, 2010",0,46,305,2,0,1
Facebook is about to try to dominate display ads the way Google dominates text ads,http://cdixon.org/2010/05/15/facebook-is-about-to-try-to-dominate-display-ads-the-way-google-dominates-text-ads/,"May 15, 2010",0,16,8,0,0,0
"Facebook, Zynga, and buyer-supplier hold up",http://cdixon.org/2010/05/08/facebook-zynga-and-buyer-supplier-hold-up/,"May 8, 2010",0,15,2,0,0,0
Old VC firms: get ready to be disrupted,http://cdixon.org/2010/05/02/old-vc-firms-get-ready-to-be-disrupted/,"May 2, 2010",0,18,2,0,0,0
The tradeoff between open and closed,http://cdixon.org/2010/04/25/the-tradeoff-between-open-and-closed/,"April 25, 2010",0,18,57,13,0,0
Twitter and third-party Twitter developers,http://cdixon.org/2010/04/10/twitter-and-3rd-party-developers/,"April 10, 2010",0,5,8,4,0,0
Underhyping your startup,http://cdixon.org/2010/04/06/underhyping-your-startup/,"April 6, 2010",0,3,0,0,0,0
"Size markets using narratives, not numbers",http://cdixon.org/2010/04/03/size-markets-using-narratives-not-numbers/,"April 3, 2010",0,8,14,0,0,0
Capitalism just like Adam Smith pictured it,http://cdixon.org/2010/03/27/capitalism-just-like-adam-smith-pictured-it/,"March 27, 2010",0,1,0,0,0,0
Stickiness is bad for business,http://cdixon.org/2010/03/25/stickiness-is-bad-for-business/,"March 25, 2010",0,30,63,58,0,0
Developing new startup ideas,http://cdixon.org/2010/03/14/developing-new-startup-ideas/,"March 14, 2010",0,46,58,4,0,0
The importance of investor signaling in venture pricing,http://cdixon.org/2010/03/11/the-importance-of-investor-signaling-in-venture-pricing/,"March 11, 2010",0,1,5,1,0,0
News is a lousy business for Google too,http://cdixon.org/2010/03/07/news-is-a-lousy-business-for-google-too/,"March 7, 2010",0,3,2,2,0,0
"It’s not East Coast vs West Coast, it’s about making more places like the Valley",http://cdixon.org/2010/02/27/its-about-making-more-places-like-the-valley/,"February 27, 2010",0,4,2,0,0,0
A massive misallocation of online advertising dollars,http://cdixon.org/2010/02/19/a-massive-misallocation-of-online-advertising-dollars/,"February 19, 2010",0,5,6,1,0,0
Don’t be creative about the wrong things,http://cdixon.org/2010/02/16/dont-be-innovative-about-the-wrong-things/,"February 16, 2010",0,2,0,0,0,0
Some thoughts on the “geo stack”,http://cdixon.org/2010/02/14/some-thoughts-on-the-geo-stack/,"February 14, 2010",0,5,6,7,0,0
"Every time an engineer joins Google, a startup dies",http://cdixon.org/2010/02/11/every-time-an-engineer-joins-google-a-startup-dies/,"February 11, 2010",0,198,32,3,0,1
Selling to enterprises,http://cdixon.org/2010/02/06/selling-to-enterprises/,"February 6, 2010",0,0,2,0,0,0
Backing out of a term sheet,http://cdixon.org/2010/02/03/backing-out-of-a-term-sheet/,"February 3, 2010",0,9,2,1,0,0
Howard Lindzon interview,http://cdixon.org/2010/02/03/howard-lindzon-interview/,"February 3, 2010",0,0,0,0,0,0
The NYC tech scene is exploding,http://cdixon.org/2010/02/01/the-nyc-tech-scene-is-exploding/,"February 1, 2010",0,12,0,0,0,1
Why you should put the new Hunch badge on your website,http://cdixon.org/2010/01/31/why-you-should-put-the-new-hunch-badge-on-your-website/,"January 31, 2010",0,0,0,0,0,0
Institutional failure,http://cdixon.org/2010/01/30/institutional-failure/,"January 30, 2010",0,3,1,1,0,0
Being friendly has become a competitive advantage in VC,http://cdixon.org/2010/01/29/being-friendly-has-become-a-competitive-advantage-in-vc/,"January 29, 2010",0,2,1,0,0,0
Should Apple be more open?,http://cdixon.org/2010/01/28/should-apple-be-more-open/,"January 28, 2010",0,1,0,0,0,0
Incumbents,http://cdixon.org/2010/01/26/incumbents/,"January 26, 2010",0,0,0,0,0,0
How to disrupt Wall Street,http://cdixon.org/2010/01/23/how-to-disrupt-wall-street/,"January 23, 2010",0,28,111,26,0,0
Techies and normals,http://cdixon.org/2010/01/22/techies-and-normals/,"January 22, 2010",0,17,28,5,0,0
Will people pay for the New York Times online?,http://cdixon.org/2010/01/18/will-people-pay-for-the-new-york-times-online/,"January 18, 2010",0,0,0,0,0,0
Collective knowledge systems,http://cdixon.org/2010/01/17/collective-knowledge-systems/,"January 17, 2010",0,3,6,3,0,0
Security through diversity,http://cdixon.org/2010/01/12/security-through-diversity/,"January 12, 2010",0,0,0,0,0,0
Shutting down,http://cdixon.org/2010/01/09/shutting-down/,"January 9, 2010",0,0,0,0,0,0
Speculation on Apple’s purchase of Quattro Wireless,http://cdixon.org/2010/01/05/speculation-on-apples-purchase-of-quattro-wireless/,"January 5, 2010",0,2,0,0,0,0
The next big thing will start out looking like a toy,http://cdixon.org/2010/01/03/the-next-big-thing-will-start-out-looking-like-a-toy/,"January 3, 2010",0,56,164,55,0,1
What’s strategic for Google?,http://cdixon.org/2009/12/30/whats-strategic-for-google/,"December 30, 2009",0,34,93,4,0,1
What’s the right amount of seed money to raise?,http://cdixon.org/2009/12/28/whats-the-right-amount-of-seed-money-to-raise/,"December 28, 2009",0,7,14,5,0,0
Are people more willing to pay for digital goods on mobile devices?,http://cdixon.org/2009/12/27/are-people-more-willing-to-pay-for-digital-goods-on-mobile-devices/,"December 27, 2009",0,0,0,0,0,0
Why the web economy will continue growing rapidly,http://cdixon.org/2009/12/26/why-the-web-economy-will-continue-growing-rapidly/,"December 26, 2009",0,2,3,3,0,0
Google should open source what actually matters: their search ranking algorithm,http://cdixon.org/2009/12/22/google-should-open-source-what-actually-matters-their-search-ranking-algorithm/,"December 22, 2009",0,3,0,0,0,0
Anatomy of a bad search result,http://cdixon.org/2009/12/19/anatomy-of-a-bad-search-result/,"December 19, 2009",0,4,0,0,0,0
Google’s feature creep,http://cdixon.org/2009/12/17/googles-feature-creep/,"December 17, 2009",0,1,0,0,0,0
Search and the social graph,http://cdixon.org/2009/12/14/search-and-the-social-graph/,"December 14, 2009",0,0,0,0,0,0
20×200: democratizing art,http://cdixon.org/2009/12/12/20x200/,"December 12, 2009",0,0,1,0,0,0
Why did Skype succeed and Joost fail?,http://cdixon.org/2009/12/08/why-did-skype-succeed-and-joost-fail/,"December 8, 2009",0,1,0,0,0,0
Welcoming Jimmy Wales to Hunch,http://cdixon.org/2009/12/07/welcoming-jimmy-wales-to-hunch/,"December 7, 2009",0,0,0,0,0,0
Does a VC’s brand matter?,http://cdixon.org/2009/12/05/does-a-vcs-brand-matter/,"December 5, 2009",0,0,0,0,0,0
New Hunch interface,http://cdixon.org/2009/12/03/new-hunch-interface/,"December 3, 2009",0,0,2,0,0,0
Some thoughts on SEO,http://cdixon.org/2009/12/02/seo/,"December 2, 2009",0,0,0,0,0,0
Most popular posts,http://cdixon.org/2009/11/29/most-popular-posts/,"November 29, 2009",0,1,0,0,0,0
The importance of institutional redundancy,http://cdixon.org/2009/11/20/the-importance-of-institutional-redundancy/,"November 20, 2009",0,0,39,25,0,0
"Pitch yourself, not your idea",http://cdixon.org/2009/11/14/pitch-yourself-not-your-idea/,"November 14, 2009",0,17,38,10,0,1
Presenting Founder Collective,http://cdixon.org/2009/11/09/presenting-founder-collective/,"November 9, 2009",0,0,2,1,0,0
Information security – are we experiencing a Pax Romana?,http://cdixon.org/2009/11/08/information-security-are-we-experiencing-a-pax-romana/,"November 8, 2009",0,0,0,0,0,0
Hunch blogger widget,http://cdixon.org/2009/11/06/hunch-blogger-widget/,"November 6, 2009",0,0,0,0,0,0
How to select your angel investors,http://cdixon.org/2009/11/03/how-to-select-your-angel-investors/,"November 3, 2009",0,1,2,1,0,0
The most important question to ask before taking seed money,http://cdixon.org/2009/10/30/the-most-important-question-to-ask-before-taking-seed-money/,"October 30, 2009",0,8,0,0,0,0
Embrace the medium,http://cdixon.org/2009/10/27/embrace-the-medium/,"October 27, 2009",0,0,0,0,0,0
Twelve months notice,http://cdixon.org/2009/10/23/twelve-months-notice/,"October 23, 2009",0,3,6,0,0,0
"Obama:  stock picker, or confidence builder?",http://cdixon.org/2009/10/23/obama-stock-picker-or-confidence-builder/,"October 23, 2009",0,0,0,0,0,0
The ideal startup career path,http://cdixon.org/2009/10/22/the-ideal-startup-career-path/,"October 22, 2009",0,23,12,1,0,0
The challenge of creating a new category,http://cdixon.org/2009/10/20/the-challenge-of-creating-a-new-category/,"October 20, 2009",0,0,2,0,0,0
"If Verizon’s Droid is good, that’s bad for the wireless ecosystem",http://cdixon.org/2009/10/18/if-verizons-droid-is-good-thats-bad/,"October 18, 2009",0,0,0,0,0,0
"Dow 10,000 and economic reflexivity",http://cdixon.org/2009/10/17/dow-10000-and-economic-reflexivity/,"October 17, 2009",0,1,0,0,0,0
What’s the relationship between cost and price?,http://cdixon.org/2009/10/16/whats-the-relationship-between-cost-and-price/,"October 16, 2009",0,2,0,0,0,0
What carries you up will also bring you down,http://cdixon.org/2009/10/13/what-carries-you-up-will-also-bring-you-down/,"October 13, 2009",0,5,0,0,0,0
Understanding your market,http://cdixon.org/2009/10/11/understanding-your-market/,"October 11, 2009",0,0,3,0,0,0
Man and superman,http://cdixon.org/2009/10/10/man-and-superman/,"October 10, 2009",0,39,38,4,0,3
The importance of asking people questions,http://cdixon.org/2009/10/06/ask-people-questions/,"October 6, 2009",0,0,0,0,0,0
The cloud is a powder keg,http://cdixon.org/2009/10/03/the-cloud-is-a-powder-keg/,"October 3, 2009",0,1,0,0,0,0
The problem with online “local” businesses,http://cdixon.org/2009/10/02/the-problem-with-online-local-businesses/,"October 2, 2009",0,0,15,1,0,0
Why does it matter that Twitter is supplanting RSS?,http://cdixon.org/2009/10/01/why-does-it-matter-that-twitter-is-supplanting-rss/,"October 1, 2009",0,0,2,0,0,0
Twitter killed RSS (and that’s a bad thing),http://cdixon.org/2009/09/29/twitter-killed-rss-and-thats-a-bad-thing/,"September 29, 2009",0,0,15,3,0,0
Why content sites are getting ripped off,http://cdixon.org/2009/09/29/why-content-sites-are-getting-ripped-off/,"September 29, 2009",0,6,7,3,0,0
The new economy,http://cdixon.org/2009/09/28/the-new-economy/,"September 28, 2009",0,1,1,0,0,0
What if online business model innovation is slowing down?,http://cdixon.org/2009/09/28/what-if-online-business-model-innovation-is-slowing-down/,"September 28, 2009",0,0,0,0,0,0
Online advertising is all about purchasing intent,http://cdixon.org/2009/09/27/online-advertising-is-all-about-purchasing-intent/,"September 27, 2009",0,6,17,2,0,0
"Yahoo should invest in products, not advertising",http://cdixon.org/2009/09/26/yahoo-should-invest-in-products-not-advertising/,"September 26, 2009",0,0,0,0,0,0
The Twitter investment and the decline of venture capital,http://cdixon.org/2009/09/25/the-twitter-investment-and-the-decline-of-venture-capital/,"September 25, 2009",0,0,1,0,0,0
Software patents should be abolished,http://cdixon.org/2009/09/24/software-patents-should-be-abolished/,"September 24, 2009",0,4,21,6,0,0
